iteration,susceptible,exposed,infected,recovered
1,19968,7,21,4
2,19957,10,24,9
3,19943,14,27,16
4,19934,5,35,26
5,19917,12,35,36
6,19901,20,27,52
7,19890,10,30,70
8,19874,16,30,80
9,19863,13,32,92
10,19858,8,32,102
11,19853,6,27,114
12,19843,9,23,125
13,19830,12,23,135
14,19826,4,26,144
15,19820,6,23,151
16,19810,8,23,159
17,19805,6,23,166
18,19794,10,24,172
19,19791,6,22,181
20,19787,6,21,186
21,19780,8,19,193
22,19778,3,19,200
23,19773,2,17,208
24,19773,2,11,214
25,19771,2,7,220
26,19769,2,8,221
27,19768,2,5,225
28,19768,1,5,226
29,19767,0,3,230
30,19768,0,2,230
31,19768,0,1,231
32,19768,0,0,232
33,19768,0,0,232
34,19770,0,0,230
35,19770,0,0,230
36,19770,0,0,230
37,19770,0,0,230
38,19771,0,0,229
39,19774,0,0,226
40,19775,0,0,225
41,19777,0,0,223
42,19777,0,0,223
43,19778,0,0,222
44,19779,0,0,221
45,19780,0,0,220
46,19780,0,0,220
47,19780,0,0,220
48,19780,0,0,220
49,19781,0,0,219
50,19781,0,0,219
51,19781,0,0,219
52,19781,0,0,219
53,19781,0,0,219
54,19782,0,0,218
55,19783,0,0,217
56,19784,0,0,216
57,19785,0,0,215
58,19785,0,0,215
59,19785,0,0,215
60,19785,0,0,215
61,19785,0,0,215
62,19785,0,0,215
63,19787,0,0,213
64,19787,0,0,213
65,19789,0,0,211
66,19790,0,0,210
67,19792,0,0,208
68,19793,0,0,207
69,19794,0,0,206
70,19795,0,0,205
71,19795,0,0,205
72,19795,0,0,205
73,19796,0,0,204
74,19797,0,0,203
75,19798,0,0,202
76,19799,0,0,201
77,19800,0,0,200
78,19802,0,0,198
79,19803,0,0,197
80,19805,0,0,195
81,19805,0,0,195
82,19806,0,0,194
83,19807,0,0,193
84,19809,0,0,191
85,19809,0,0,191
86,19809,0,0,191
87,19810,0,0,190
88,19811,0,0,189
89,19811,0,0,189
90,19812,0,0,188
91,19812,0,0,188
92,19812,0,0,188
93,19813,0,0,187
94,19814,0,0,186
95,19815,0,0,185
96,19818,0,0,182
97,19819,0,0,181
98,19819,0,0,181
99,19820,0,0,180
100,19820,0,0,180
101,19821,0,0,179
102,19823,0,0,177
103,19823,0,0,177
104,19823,0,0,177
105,19824,0,0,176
106,19825,0,0,175
107,19825,0,0,175
108,19826,0,0,174
109,19826,0,0,174
110,19826,0,0,174
111,19827,0,0,173
112,19827,0,0,173
113,19827,0,0,173
114,19828,0,0,172
115,19829,0,0,171
116,19832,0,0,168
117,19832,0,0,168
118,19832,0,0,168
119,19833,0,0,167
120,19833,0,0,167
121,19833,0,0,167
122,19834,0,0,166
123,19834,0,0,166
124,19835,0,0,165
125,19835,0,0,165
126,19835,0,0,165
127,19835,0,0,165
128,19836,0,0,164
129,19837,0,0,163
