iteration,susceptible,exposed,infected,recovered
1,5403,7429,7161,7
2,1788,7137,8219,2856
3,627,5766,8246,5361
4,240,4315,7790,7655
5,130,3121,7001,9748
6,82,2308,6112,11498
7,66,1657,5254,13023
8,69,1222,4439,14270
9,84,882,3726,15308
10,97,625,3149,16129
11,80,463,2602,16855
12,91,337,2186,17386
13,108,268,1796,17828
14,114,213,1509,18164
15,117,185,1251,18447
16,154,155,1045,18646
17,98,135,902,18865
18,140,125,745,18990
19,118,117,685,19080
20,145,116,599,19140
21,146,118,519,19217
22,177,124,473,19226
23,134,142,455,19269
24,145,126,412,19317
25,161,122,383,19334
26,162,139,390,19309
27,156,151,381,19312
28,160,134,402,19304
29,132,142,370,19356
30,192,134,353,19321
31,183,154,333,19330
32,187,163,324,19326
33,171,164,338,19327
34,171,162,336,19331
35,144,151,342,19363
36,210,124,338,19328
37,206,158,338,19298
38,175,169,356,19300
39,164,182,339,19315
40,206,173,344,19277
41,184,172,367,19277
42,214,176,382,19228
43,175,198,395,19232
44,214,186,394,19206
45,227,192,395,19186
46,232,192,409,19167
47,186,205,423,19186
48,195,191,436,19178
49,192,173,446,19189
50,239,184,418,19159
51,202,206,421,19171
52,205,221,413,19161
53,187,211,426,19176
54,220,187,420,19173
55,205,195,424,19176
56,246,195,432,19127
57,226,220,444,19110
58,218,212,466,19104
59,201,200,470,19129
60,218,197,473,19112
61,231,213,446,19110
62,234,213,468,19085
63,191,226,480,19103
64,211,220,457,19112
65,210,219,465,19106
66,245,211,448,19096
67,231,217,463,19089
68,232,214,476,19078
69,199,221,492,19088
70,217,225,479,19079
71,192,222,508,19078
72,246,211,485,19058
73,228,221,484,19067
74,224,234,501,19041
75,227,231,515,19027
76,221,229,503,19047
77,182,226,492,19100
78,235,221,472,19072
79,204,236,496,19064
80,251,213,504,19032
81,267,235,494,19004
82,256,265,514,18965
83,217,261,530,18992
84,223,237,538,19002
85,221,229,530,19020
86,228,234,519,19019
87,251,228,508,19013
88,257,220,539,18984
89,203,232,511,19054
90,252,226,484,19038
91,259,233,511,18997
92,244,252,514,18990
93,268,237,533,18962
94,243,254,537,18966
95,202,228,568,19002
96,252,218,549,18981
97,240,253,522,18985
98,216,258,507,19019
99,211,247,520,19022
100,265,245,508,18982
101,264,260,538,18938
102,246,276,530,18948
103,232,272,558,18938
104,232,272,537,18959
105,236,256,558,18950
106,242,267,557,18934
107,224,240,593,18943
108,253,241,554,18952
109,244,256,563,18937
110,227,271,565,18937
111,242,263,553,18942
112,265,252,571,18912
113,275,255,580,18890
114,266,263,584,18887
115,215,267,604,18914
116,229,257,580,18934
117,249,245,560,18946
118,257,234,563,18946
119,195,233,566,19006
120,255,232,524,18989
121,281,247,530,18942
122,289,258,571,18882
123,283,286,562,18869
124,257,297,578,18868
125,255,282,585,18878
126,249,290,579,18882
127,230,283,572,18915
128,248,273,569,18910
129,240,274,555,18931
130,255,285,549,18911
131,219,264,573,18944
132,276,264,556,18904
133,234,280,600,18886
134,248,266,602,18884
135,267,263,605,18865
136,272,274,615,18839
137,249,278,626,18847
138,271,271,600,18858
139,223,273,617,18887
140,248,248,599,18905
141,285,250,560,18905
142,264,269,570,18897
143,217,275,559,18949
144,249,252,585,18914
145,272,256,570,18902
146,287,272,567,18874
147,264,272,607,18857
148,270,263,618,18849
149,242,278,612,18868
150,274,265,601,18860
151,259,265,617,18859
152,272,284,588,18856
153,240,282,607,18871
154,223,281,620,18876
155,243,270,608,18879
156,301,248,630,18821
157,294,262,640,18804
158,277,279,626,18818
159,239,295,633,18833
160,256,286,613,18845
161,267,292,589,18852
162,306,298,589,18807
163,246,305,627,18822
164,274,298,608,18820
165,265,285,625,18825
166,271,258,630,18841
167,221,271,622,18886
168,271,246,616,18867
169,277,248,605,18870
170,290,275,594,18841
171,283,283,616,18818
172,263,271,644,18822
173,248,271,616,18865
174,283,272,585,18860
175,242,277,594,18887
176,300,278,553,18869
177,287,293,586,18834
178,255,300,615,18830
179,227,289,605,18879
180,271,261,604,18864
181,265,269,608,18858
182,258,273,597,18872
183,299,286,568,18847
184,286,303,595,18816
185,279,310,605,18806
186,315,305,617,18763
187,274,297,644,18785
188,266,294,643,18797
189,227,285,644,18844
190,268,284,614,18834
191,213,289,599,18899
192,281,272,581,18866
193,260,279,591,18870
194,257,267,600,18876
195,265,265,606,18864
196,275,264,594,18867
197,227,293,592,18888
198,263,301,563,18873
199,279,298,576,18847
200,301,290,600,18809
201,297,295,630,18778
202,285,306,638,18771
203,248,309,634,18809
204,283,311,630,18776
205,289,311,642,18758
206,272,297,650,18781
207,269,290,622,18819
208,278,279,642,18801
209,224,282,641,18853
210,270,260,609,18861
211,256,271,604,18869
212,276,272,617,18835
213,321,289,636,18754
214,281,309,636,18774
215,252,305,633,18810
216,288,300,630,18782
217,285,303,648,18764
218,296,294,663,18747
219,277,295,643,18785
220,281,305,625,18789
221,256,308,635,18801
222,254,274,656,18816
223,232,257,638,18873
224,289,233,625,18853
225,293,271,607,18829
226,303,281,633,18783
227,251,306,636,18807
228,297,287,631,18785
229,254,285,669,18792
230,232,290,646,18832
231,244,270,635,18851
232,277,270,602,18851
233,252,267,625,18856
234,282,263,607,18848
235,294,292,569,18845
236,308,279,624,18789
237,267,309,635,18789
238,280,303,623,18794
239,238,301,636,18825
240,286,290,617,18807
241,282,290,621,18807
242,274,298,636,18792
243,286,308,600,18806
244,295,327,621,18757
245,303,302,643,18752
246,338,304,667,18691
247,288,329,673,18710
248,295,322,673,18710
249,263,334,682,18721
250,265,311,684,18740
251,214,295,689,18802
252,244,287,644,18825
253,274,277,651,18798
254,268,279,637,18816
255,288,290,630,18792
256,297,289,643,18771
257,271,306,628,18795
258,322,305,637,18736
259,262,322,646,18770
260,272,303,655,18770
261,267,310,638,18785
262,275,284,672,18769
263,247,284,660,18809
264,289,264,656,18791
265,297,268,649,18786
266,286,284,626,18804
267,293,282,622,18803
268,290,287,645,18778
269,255,303,652,18790
270,291,312,613,18784
271,272,321,623,18784
272,257,310,634,18799
273,298,282,622,18798
274,272,287,645,18796
275,261,293,626,18820
276,290,304,613,18793
277,288,300,608,18804
278,326,309,634,18731
279,262,293,664,18781
280,288,292,667,18753
281,282,285,678,18755
282,305,300,657,18738
283,289,305,672,18734
284,255,317,652,18776
285,278,314,651,18757
286,271,299,661,18769
287,230,290,664,18816
288,296,263,638,18803
289,283,280,659,18778
290,279,277,634,18810
291,322,280,628,18770
292,317,289,650,18744
293,285,305,660,18750
294,274,299,661,18766
295,280,280,653,18787
296,253,296,650,18801
297,265,281,637,18817
298,286,300,599,18815
299,236,313,617,18834
300,287,277,617,18819
301,269,294,611,18826
302,288,297,597,18818
303,282,283,633,18802
304,278,291,628,18803
305,279,299,644,18778
306,308,311,616,18765
307,272,323,643,18762
308,252,316,658,18774
309,280,290,663,18767
310,317,288,665,18730
311,246,317,651,18786
312,312,310,633,18745
313,297,300,661,18742
314,249,317,666,18768
315,298,298,624,18780
316,287,307,627,18779
317,282,314,634,18770
318,315,304,623,18758
319,261,320,652,18767
320,303,297,658,18742
321,271,301,664,18764
322,266,276,664,18794
323,256,263,680,18801
324,266,282,628,18824
325,295,281,609,18815
326,303,266,667,18764
327,290,288,663,18759
328,328,290,658,18724
329,273,317,696,18714
330,328,301,673,18698
331,321,310,662,18707
332,330,315,670,18685
333,298,328,674,18700
334,289,344,633,18734
335,267,322,661,18750
336,302,307,666,18725
337,302,302,685,18711
338,271,320,690,18719
339,259,292,688,18761
340,289,300,657,18754
341,265,287,679,18769
342,288,296,643,18773
343,301,279,658,18762
344,308,300,648,18744
345,335,311,636,18718
346,315,323,675,18687
347,283,310,692,18715
348,291,304,665,18740
349,262,301,668,18769
350,253,313,648,18786
351,268,310,644,18778
352,310,288,671,18731
353,319,307,674,18700
354,313,321,667,18699
355,292,325,683,18700
356,262,321,700,18717
357,287,291,698,18724
358,264,308,685,18743
359,218,304,664,18814
360,257,274,632,18837
361,282,253,629,18836
362,295,260,629,18816
363,317,301,611,18771
364,327,322,622,18729
365,321,332,656,18691
366,297,369,659,18675
367,299,361,651,18689
368,287,356,679,18678
369,273,336,699,18692
370,266,325,688,18721
371,265,302,689,18744
372,325,293,664,18718
373,288,315,664,18733
374,282,327,677,18714
375,238,327,672,18763
376,246,311,654,18789
377,241,306,635,18818
378,247,289,634,18830
